# Stolen from https://developer.mozilla.org/en-US/docs/Web/CSS/named-color and https://developer.mozilla.org/en-US/docs/Web/CSS/system-color with love <3

AliceBlue 	#f0f8ff
PaleVioletRed 	#db7093
PapayaWhip 	#ffefd5
PeachPuff 	#ffdab9
Peru 	#cd853f
Pink 	#ffc0cb
Plum 	#dda0dd
PowderBlue 	#b0e0e6
Purple 	#800080
RebeccaPurple 	#663399
Red 	#ff0000
RosyBrown 	#bc8f8f
RoyalBlue 	#4169e1
SaddleBrown 	#8b4513
Salmon 	#fa8072
SandyBrown 	#f4a460
SeaGreen 	#2e8b57
SeaShell 	#fff5ee
Sienna 	#a0522d
Silver 	#c0c0c0
SkyBlue 	#87ceeb
SlateBlue 	#6a5acd
SlateGray 	#708090
SlateGrey 	#708090
Snow 	#fffafa
SpringGreen 	#00ff7f
SteelBlue 	#4682b4
Tan 	#d2b48c
Teal 	#008080
Thistle 	#d8bfd8
Tomato 	#ff6347
Transparent 	See transparent.
Turquoise 	#40e0d0
Violet 	#ee82ee
Wheat 	#f5deb3
White 	#ffffff
Whitesmoke 	#f5f5f5
Yellow 	#ffff00
Yellowgreen 	#9acd32

AccentColor 	Background of accented user interface controls.
AccentColorText 	Text of accented user interface controls.
ActiveText 	Text of active links.
ButtonBorder 	Base border color of controls.
ButtonFace 	Background color of controls.
ButtonText 	Text color of controls.
Canvas 	Background of application content or documents.
CanvasText 	Text color in application content or documents.
Field 	Background of input fields.
FieldText 	Text in input fields.
GrayText 	Text color for disabled items (for example, a disabled control).
Highlight 	Background of selected items.
HighlightText 	Text color of selected items.
LinkText 	Text of non-active, non-visited links.
Mark 	Background of text that has been specially marked (such as by the HTML mark element).
MarkText 	Text that has been specially marked (such as by the HTML mark element).
SelectedItem 	Background of selected items, for example, a selected checkbox.
SelectedItemText 	Text of selected items.
VisitedText 	Text of visited links.

ActiveBorder 	Active window border 	ButtonBorder
ActiveCaption 	Active window caption. Should be used with CaptionText as foreground color. 	Canvas
AppWorkspace 	Background color of multiple document interface. 	Canvas
Background 	Desktop background. 	Canvas
ButtonHighlight 	The color of the border facing the light source for 3-D elements that appear 3-D due to that layer of surrounding border. 	ButtonFace
ButtonShadow 	The color of the border away from the light source for 3-D elements that appear 3-D due to that layer of surrounding border. 	ButtonFace
CaptionText 	Text in caption, size box, and scrollbar arrow box. Should be used with the ActiveCaption background color. 	CanvasText
InactiveBorder 	Inactive window border. 	ButtonBorder
InactiveCaption 	Inactive window caption. Should be used with the InactiveCaptionText foreground color. 	Canvas
InactiveCaptionText 	Color of text in an inactive caption. Should be used with the InactiveCaption background color. 	GrayText
InfoBackground 	Background color for tooltip controls. Should be used with the InfoText foreground color. 	Canvas
InfoText 	Text color for tooltip controls. Should be used with the InfoBackground background color. 	CanvasText
Menu 	Menu background. Should be used with the MenuText or -moz-MenuBarText foreground color. 	Canvas
MenuText 	Text in menus. Should be used with the Menu background color. 	CanvasText
Scrollbar 	Background color of scroll bars. 	Canvas
ThreeDDarkShadow 	The color of the darker (generally outer) of the two borders away from the light source for 3-D elements that appear 3-D due to two concentric layers of surrounding border. 	ButtonBorder
ThreeDFace 	The face background color for 3-D elements that appear 3-D due to two concentric layers of surrounding border. Should be used with the ButtonText foreground color. 	ButtonFace
ThreeDHighlight 	The color of the lighter (generally outer) of the two borders facing the light source for 3-D elements that appear 3-D due to two concentric layers of surrounding border. 	ButtonBorder
ThreeDLightShadow 	The color of the darker (generally inner) of the two borders facing the light source for 3-D elements that appear 3-D due to two concentric layers of surrounding border. 	ButtonBorder
ThreeDShadow 	The color of the lighter (generally inner) of the two borders away from the light source for 3-D elements that appear 3-D due to two concentric layers of surrounding border. 	ButtonBorder
Window 	Window background. Should be used with the WindowText foreground color. 	Canvas
WindowFrame 	Window frame. 	ButtonBorder
WindowText 	Text in windows. Should be used with the Window background color. 	CanvasText
